Month,sweatpants: (Worldwide),peakbaggy
2004-01-01,9,0
2004-02-01,7,0
2004-03-01,7,0
2004-04-01,3,0
2004-05-01,4,0
2004-06-01,2,0
2004-07-01,6,0
2004-08-01,5,0
2004-09-01,8,0
2004-10-01,8,0
2004-11-01,8,0
2004-12-01,7,0
2005-01-01,8,0
2005-02-01,7,0
2005-03-01,11,0
2005-04-01,3,0
2005-05-01,5,0
2005-06-01,6,0
2005-07-01,4,0
2005-08-01,6,0
2005-09-01,3,0
2005-10-01,11,0
2005-11-01,7,0
2005-12-01,11,0
2006-01-01,6,0
2006-02-01,9,0
2006-03-01,5,0
2006-04-01,5,0
2006-05-01,4,0
2006-06-01,3,0
2006-07-01,4,0
2006-08-01,6,0
2006-09-01,6,0
2006-10-01,11,0
2006-11-01,12,0
2006-12-01,13,0
2007-01-01,8,0
2007-02-01,8,0
2007-03-01,5,0
2007-04-01,6,0
2007-05-01,3,0
2007-06-01,2,0
2007-07-01,5,0
2007-08-01,4,0
2007-09-01,6,0
2007-10-01,9,0
2007-11-01,11,0
2007-12-01,13,0
2008-01-01,8,0
2008-02-01,8,0
2008-03-01,6,0
2008-04-01,6,0
2008-05-01,5,0
2008-06-01,4,0
2008-07-01,5,0
2008-08-01,5,0
2008-09-01,7,0
2008-10-01,13,0
2008-11-01,10,0
2008-12-01,16,0
2009-01-01,10,0
2009-02-01,8,0
2009-03-01,8,0
2009-04-01,6,0
2009-05-01,6,0
2009-06-01,5,0
2009-07-01,6,0
2009-08-01,8,0
2009-09-01,11,0
2009-10-01,14,1
2009-11-01,15,1
2009-12-01,21,1
2010-01-01,12,0
2010-02-01,13,0
2010-03-01,11,0
2010-04-01,8,0
2010-05-01,8,0
2010-06-01,6,0
2010-07-01,6,0
2010-08-01,7,0
2010-09-01,11,0
2010-10-01,17,1
2010-11-01,18,1
2010-12-01,23,1
2011-01-01,14,0
2011-02-01,13,0
2011-03-01,12,0
2011-04-01,9,0
2011-05-01,8,0
2011-06-01,8,0
2011-07-01,8,0
2011-08-01,11,0
2011-09-01,13,0
2011-10-01,20,1
2011-11-01,22,1
2011-12-01,26,1
2012-01-01,19,0
2012-02-01,20,0
2012-03-01,15,0
2012-04-01,14,0
2012-05-01,11,0
2012-06-01,11,0
2012-07-01,10,0
2012-08-01,14,0
2012-09-01,18,0
2012-10-01,24,1
2012-11-01,27,1
2012-12-01,32,1
2013-01-01,25,0
2013-02-01,22,0
2013-03-01,21,0
2013-04-01,18,0
2013-05-01,15,0
2013-06-01,14,0
2013-07-01,14,0
2013-08-01,19,0
2013-09-01,24,0
2013-10-01,30,1
2013-11-01,39,1
2013-12-01,49,1
2014-01-01,35,0
2014-02-01,33,0
2014-03-01,30,0
2014-04-01,30,0
2014-05-01,24,0
2014-06-01,23,0
2014-07-01,25,0
2014-08-01,28,0
2014-09-01,33,0
2014-10-01,38,1
2014-11-01,46,1
2014-12-01,50,1
2015-01-01,37,0
2015-02-01,35,0
2015-03-01,29,0
2015-04-01,25,0
2015-05-01,21,0
2015-06-01,19,0
2015-07-01,20,0
2015-08-01,25,0
2015-09-01,27,0
2015-10-01,36,1
2015-11-01,44,1
2015-12-01,47,1
2016-01-01,37,0
2016-02-01,33,0
2016-03-01,27,0
2016-04-01,23,0
2016-05-01,22,0
2016-06-01,21,0
2016-07-01,19,0
2016-08-01,23,0
2016-09-01,28,0
2016-10-01,39,1
2016-11-01,50,1
2016-12-01,60,1
2017-01-01,41,0
2017-02-01,32,0
2017-03-01,30,0
2017-04-01,27,0
2017-05-01,24,0
2017-06-01,22,0
2017-07-01,23,0
2017-08-01,28,0
2017-09-01,37,0
2017-10-01,44,1
2017-11-01,55,1
2017-12-01,62,1
2018-01-01,40,0
2018-02-01,36,0
2018-03-01,33,0
2018-04-01,30,0
2018-05-01,25,0
2018-06-01,23,0
2018-07-01,25,0
2018-08-01,27,0
2018-09-01,33,0
2018-10-01,44,1
2018-11-01,55,1
2018-12-01,59,1
2019-01-01,42,0
2019-02-01,40,0
2019-03-01,33,0
2019-04-01,28,0
2019-05-01,26,0
2019-06-01,24,0
2019-07-01,24,0
2019-08-01,30,0
2019-09-01,36,0
2019-10-01,53,1
2019-11-01,75,1
2019-12-01,82,1
2020-01-01,55,0
2020-02-01,52,0
2020-03-01,57,0
2020-04-01,80,1
2020-05-01,65,1
2020-06-01,48,1
2020-07-01,45,0
2020-08-01,49,0
2020-09-01,65,0
2020-10-01,75,1
2020-11-01,95,1
2020-12-01,100,1
2021-01-01,70,0
2021-02-01,59,0
2021-03-01,48,0
2021-04-01,40,0
2021-05-01,34,-1
2021-06-01,29,-1
2021-07-01,32,-1
2021-08-01,38,-1
2021-09-01,45,-1
2021-10-01,,0
2021-11-01,,1
2021-12-01,,1
2022-01-01,,0
2022-02-01,,0
2022-03-01,,0
2022-04-01,,0
2022-05-01,,0
2022-06-01,,0
2022-07-01,,0
,,
,,
